variable,smd_before,smd_after
ambiguity_entropy,-0.11898817742691246,-0.12461848463632527
gap12,0.055389936282880636,0.08684709515642236
wp1,0.1573528112982183,0.10648340535923723
voc_z,0.07427922366400015,0.20628745414626637
clock_pressure,0.17510534725213056,0.11940382515322903
ply,0.3800107602497469,0.21835883258255723
legal_moves,0.08891326481234456,0.1150616399367969
n_near,-0.14106434683247218,-0.10935333911712973
eval_volatility,0.18138479275095973,0.2198198932429057
best_move_changes,-0.13628869483169018,-0.05517999545447119
