control,metric,point,lo,hi
C10_binary_outcome,beta_on_inaccuracy,0.06886950260326652,0.06342103970834966,0.0750765054820394
C11_no_book,n,70349,,
C11_no_book,players,2142,,
C11_no_book,beta,0.01457390648067048,0.013520216302448576,0.015627191181355228
C11_no_book,tae_rating_gradient,0.0007956978270440819,-0.00019030889952696844,0.001989993706183975
C11_no_book,metric_a_time_vs_rating,-0.01090160212690872,-0.012313883016474892,-0.009546189894106534
C12_phase_endgame,n,8825,,
C12_phase_endgame,players,622,,
C12_phase_endgame,beta,0.00833158504479766,0.00545881752326942,0.011174101708657248
C12_phase_endgame,tae_rating_gradient,-0.0013359858476093417,-0.004121301136806195,0.001425901767414034
C12_phase_endgame,metric_a_time_vs_rating,-0.0059476301686189415,-0.009879016701573434,-0.0020499177178617822
C12_phase_middlegame,n,44642,,
C12_phase_middlegame,players,2105,,
C12_phase_middlegame,beta,0.016449524854232,0.015197586073411592,0.01773637611992549
C12_phase_middlegame,tae_rating_gradient,0.0009952225382535214,-0.0003409450714331667,0.0023736537740564707
C12_phase_middlegame,metric_a_time_vs_rating,-0.009636576962664224,-0.011422005871751831,-0.00816078180171293
C12_phase_opening,n,20983,,
C12_phase_opening,players,2142,,
C12_phase_opening,beta,0.009485599301631788,0.007919925981200419,0.01122902631377697
C12_phase_opening,tae_rating_gradient,0.0016329079329539349,-0.0006719065466408181,0.004130915193059924
C12_phase_opening,metric_a_time_vs_rating,-0.016058856920467768,-0.017879641832639903,-0.014304986344480262
C13_standing_level,n,29900,,
C13_standing_level,players,2129,,
C13_standing_level,beta,0.011872746993999017,0.010448379058765122,0.0130889910938143
C13_standing_level,tae_rating_gradient,-9.321224388588275e-05,-0.002102643201564111,0.0018822781389341427
C13_standing_level,metric_a_time_vs_rating,-0.011289904634629247,-0.013108547674252435,-0.009566940802677028
C13_standing_losing,n,19549,,
C13_standing_losing,players,1502,,
C13_standing_losing,beta,0.0074146611796641415,0.006511736007410021,0.00851690184019994
C13_standing_losing,tae_rating_gradient,-6.200571270127466e-07,-0.002429264501724947,0.002685735146247054
C13_standing_losing,metric_a_time_vs_rating,-0.012285299548170934,-0.014812048572675204,-0.009711568971370156
C13_standing_winning,n,25001,,
C13_standing_winning,players,1793,,
C13_standing_winning,beta,0.02210329938649937,0.019527873740299545,0.02454149705292105
C13_standing_winning,tae_rating_gradient,0.0017760803740129992,7.281157865568651e-05,0.0033938399806628062
C13_standing_winning,metric_a_time_vs_rating,-0.009850116347475341,-0.01248257386389168,-0.007365351870318933
C14_clock_pressure_t0,n,24109,,
C14_clock_pressure_t0,players,2142,,
C14_clock_pressure_t0,beta,0.010538849556867487,0.008899493961601841,0.012203837374560428
C14_clock_pressure_t0,tae_rating_gradient,0.0016625361350731745,-0.0005794232596881776,0.003908916833912592
C14_clock_pressure_t0,metric_a_time_vs_rating,-0.01465762341593638,-0.016578887888691315,-0.01297343792626106
C14_clock_pressure_t1,n,25507,,
C14_clock_pressure_t1,players,2082,,
C14_clock_pressure_t1,beta,0.0160357787911768,0.014408853538032897,0.01772233490751879
C14_clock_pressure_t1,tae_rating_gradient,0.002350975742761383,0.000579041856432924,0.003971680979454959
C14_clock_pressure_t1,metric_a_time_vs_rating,-0.006047132131857912,-0.008396874528984685,-0.0035756552233389984
C14_clock_pressure_t2,n,24834,,
C14_clock_pressure_t2,players,1527,,
C14_clock_pressure_t2,beta,0.014846308551153362,0.012977652984781771,0.01667057484679923
C14_clock_pressure_t2,tae_rating_gradient,-0.0012494859155831792,-0.002961401000257728,0.0003574415631983557
C14_clock_pressure_t2,metric_a_time_vs_rating,-0.012238696732751476,-0.014307085263005781,-0.009830487396166696
C17_no_zero_time,n,67198,,
C17_no_zero_time,players,2142,,
C17_no_zero_time,beta,0.01540253437832603,0.014195059335647247,0.016646449671224577
C17_no_zero_time,tae_rating_gradient,0.0007960750355989132,-0.00018818766897254785,0.0019126257184595146
C17_no_zero_time,metric_a_time_vs_rating,-0.006387393640031069,-0.007663980312434226,-0.005069385404567795
C18_first_40_plies,n,40200,,
C18_first_40_plies,players,2142,,
C18_first_40_plies,beta,0.012995931932528444,0.011727540614457578,0.014261373985612733
C18_first_40_plies,tae_rating_gradient,0.00166401205657799,2.6458472653453404e-06,0.003302570793681824
C18_first_40_plies,metric_a_time_vs_rating,-0.012454986193215722,-0.014113105514339103,-0.010818029973895764
C19_own_pace_added,beta,0.014147817175406084,0.013098690961902575,0.015157976885524858
C1_shuffled_quality,beta,-0.00041447664039951146,-0.001462224698511455,0.0005930236871614344
C2_shuffled_time,beta,-0.00023015528350138056,-0.000799042184968481,0.00037367929490137076
C3_shuffled_rating,tae_rating_gradient,7.997687459274268e-07,-0.0010077719686806198,0.0010388990663302517
C3_shuffled_rating,metric_a_time_vs_rating,-0.00010048461436260577,-0.0008854455946006502,0.0008228124268605333
C3_shuffled_rating,extreme_ut_vs_rating,3.154575411286257e-05,-0.00021932488600783772,0.00027636313937492226
C3_shuffled_rating,allocation_loss_vs_rating,-9.950810209094973e-05,-0.0004964022182888975,0.0003296375784177509
C4_shuffled_voc,tae_rating_gradient,8.785545237128948e-06,-0.0009379913445122145,0.0009599415263642924
C4_shuffled_voc,tae_pooled,2.9208396177633054e-05,-0.00408023488158519,0.00474704239398705
C4_shuffled_voc,tae_rating_gradient_raw_column_permuted,-0.0009173789838144558,-0.0017148654101727893,-0.00012712623996859608
C4_shuffled_voc,note,"the pass condition reads the permutation of voc_resid, the regressor the estimator uses; permuting the raw column leaves the frozen fit's deterministic part in place and is reported beside it",,
C5_planted_regularity,lambda,0.02,,
C5_planted_regularity,beta,0.034118477378800256,0.03308475179575762,0.03511451057186821
C5_planted_regularity,beta_unplanted,0.014119238144463388,,
